test_name,aliases,category,unit,ref_low,ref_high,normal_condition,low_interpretation,high_interpretation,severity_notes,related_tests,source_note
Hemoglobin,"Hb|Hgb|Haemoglobin",Complete Hemogram,g/dL,12.0,15.0,between,"May suggest anemia or blood loss; interpret with RBC indices and iron studies.","May suggest dehydration or increased red cell mass.","Female adult range from supplied Thyrocare reports.","Hematocrit|MCV|MCH|RBC|Iron|Vitamin B12","Sample-derived from Thyrocare reports; verify by lab-specific range."
Hematocrit(PCV),"PCV|Packed Cell Volume",Complete Hemogram,%,36.0,46.0,between,"May suggest anemia, blood loss, or dilutional state.","May suggest dehydration or increased red cell concentration.","Female adult range from supplied Thyrocare reports.","Hemoglobin|RBC|MCV","Sample-derived from Thyrocare reports; verify by lab-specific range."
Total RBC,"RBC|Red Blood Cell Count",Complete Hemogram,10^6/uL,3.8,4.8,between,"May support anemia when low with low hemoglobin.","May be seen with dehydration or increased red cell production.","Ranges varied slightly across reports; using 2024 Thyrocare female range.","Hemoglobin|Hematocrit|MCV","Sample-derived from Thyrocare reports; verify by lab-specific range."
Total Leucocytes Count (WBC),"WBC|Total Leukocyte Count|TLC",Complete Hemogram,10^3/uL,4.0,10.0,between,"May suggest low immune cells or marrow suppression; correlate clinically.","May suggest infection, inflammation, stress, or steroid effect.","WBC above 10.0 flagged high in supplied report.","Neutrophils|Lymphocytes|HS-CRP","Sample-derived from Thyrocare reports; verify by lab-specific range."
Neutrophils,"Neutrophil Percentage",Complete Hemogram,%,40.0,80.0,between,"May occur in some viral infections or marrow conditions.","May suggest bacterial infection, inflammation, stress, or steroid effect.","Percentage must be interpreted with absolute neutrophil count.","WBC|Neutrophils Absolute Count|HS-CRP","Sample-derived from Thyrocare reports; verify by lab-specific range."
Lymphocyte,"Lymphocyte Percentage|Lymphocytes",Complete Hemogram,%,20.0,40.0,between,"May occur with stress response or immune suppression.","May occur with viral infections or chronic inflammation.","Interpret with absolute lymphocyte count.","WBC|Lymphocytes Absolute Count","Sample-derived from Thyrocare reports; verify by lab-specific range."
Monocytes,"Monocyte Percentage",Complete Hemogram,%,2.0,10.0,between,"Usually minor when isolated; interpret with absolute count.","May suggest inflammation or recovery phase of infection.","One report used 0.0 lower bound; 2024 reports use 2.0.","WBC|Monocytes Absolute Count","Sample-derived from Thyrocare reports; verify by lab-specific range."
Eosinophils,"Eosinophil Percentage",Complete Hemogram,%,1.0,6.0,between,"Usually minor when slightly low.","May suggest allergy, asthma, parasite infection, or drug reaction.","One older report used 0.0 lower bound; 2024 reports use 1.0.","WBC|Eosinophils Absolute Count","Sample-derived from Thyrocare reports; verify by lab-specific range."
Basophils,"Basophil Percentage",Complete Hemogram,%,0.0,2.0,between,"Usually not significant when isolated.","May occur with allergy, inflammation, or some blood disorders.","Interpret with absolute basophil count.","WBC|Basophils Absolute Count","Sample-derived from Thyrocare reports; verify by lab-specific range."
Neutrophils - Absolute Count,"ANC|Absolute Neutrophil Count",Complete Hemogram,10^3/uL,2.0,7.0,between,"Low ANC may increase infection risk depending on degree.","High ANC may suggest infection or inflammation.","Use absolute count for better interpretation than percentage alone.","WBC|Neutrophils|HS-CRP","Sample-derived from Thyrocare reports; verify by lab-specific range."
